Nome;Id. B2W;SKU Parceiro;Preço de;Preço por;Qtd. Estoque;Ean;Situação;Motivo Reprovação;mensagem
Jogo Roda Aro 15 Golf GTI 40 anos GRAFITE DIAMANTADA 5X100;1850414656;7010639565873B2W;R$ 1.786,47;R$ 1.786,47;4;7010639565873;"PUBLICADO;"; ;
Cueca Boxer Kevland Colored Skulls Black;1850415641;P60948S124B2W-3;R$ 48,90;R$ 48,90;1; ;"PUBLICADO;"; ;
Pasta Térmica Gd900 1g + Espátula para Consoles e PC Gamer;1850419115;6015053835886B2W;R$ 30,61;R$ 30,61;0;6015053835886;"SE;"; ;
Jogo com 4 Rodas Aro 15 FURAÇÃO 4X100 HIPER GLOSS;1850419570;7010639558974B2W;R$ 1.807,41;R$ 1.807,41;2;7010639558974;"PUBLICADO;"; ;
Comedouro de Inox Para Cães e Gatos Patinha 3D The Pets Brasil - Rosa;1850419692;7898608637857B2W;R$ 80,39;R$ 80,39;7;7898608637857;"PUBLICADO;"; ;
"Jogo com 4 Rodas Aro 14 FURAÇÃO 4X100; GRAFITE DIAMANTADA";1850416969;7010639558523B2W;R$ 1.595,05;R$ 1.595,05;3;7010639558523;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 15 FURAÇÃO 4X100 GRAFITE DIAMANTADA FOS;1850419730;7010639565941B2W;R$ 1.786,47;R$ 1.786,47;0;7010639565941;"SE;"; ;
"Jogo com 4 Rodas Aro 14 FURAÇÃO 4X100; PRETA GLOSS";1850419756;7010639558554B2W;R$ 1.595,05;R$ 1.595,05;2;7010639558554;"PUBLICADO;"; ;
Jogo Roda Aro 17 VW SAVEIRO CROSS PRETA DIAMANTADA 4X100;1850416985;7010639566405B2W;R$ 2.262,11;R$ 2.262,11;2;7010639566405;"PUBLICADO;"; ;
Jogo com 4 Rodas Nissan Kicks Aro 16 - Furação 4x100 BLACK;1850419941;7010639562476B2W;R$ 2.054,69;R$ 2.054,69;0;7010639562476;"SE;"; ;
Jogo Roda Aro 17 Novo Polo - Furação 5x100 BLACK;1850419975;7010639566474B2W;R$ 2.262,11;R$ 2.262,11;0;7010639566474;"SE;"; ;
Jogo com 4 Rodas Aro 20 FURAÇÃO 5X120 GRAFITE DIAMANTADA;1850417267;7010639562124B2W;R$ 3.461,51;R$ 3.461,51;1;7010639562124;"PUBLICADO;"; ;
Jogo de Roda Aro 18 VW Jetta Preta Diamantada Furação 5x112;1850417566;7010639566924B2W;R$ 2.752,22;R$ 2.752,22;0;7010639566924;"SE;"; ;
Comedouro Duplo de Inox Para Cães e Gatos The Pet Brasil - Rosa;1850417806;7898608638076B2W;R$ 60,83;R$ 60,83;10;7898608638076;"PUBLICADO;"; ;
Jogo de roda Aro 18 VW Tiguan Grafite Brilhante Furação 5x112;1850417911;7010639566719B2W;R$ 2.752,22;R$ 2.752,22;2;7010639566719;"PUBLICADO;"; ;
Jogo de Roda Aro 14 MERCEDES AMG C63 BLACK 4X100;1850418121;7010639562964B2W;R$ 1.595,05;R$ 1.595,05;4;7010639562964;"PUBLICADO;"; ;
Camiseta Infantil LOL It Baby ML;1965760401;P81813S131B2W-4;R$ 40,90;R$ 40,90;8; ;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 15 VW NOVO GOL PRETA DIAMANTADA 4X100;1850418930;7010639566467B2W;R$ 1.768,78;R$ 1.768,78;0;7010639566467;"SE;"; ;
Jogo com 4 Rodas Aro 18 TARANTULA 4X100 PRETA DIAMANTADA;1850418956;7010639561271B2W;R$ 2.779,74;R$ 2.779,74;0;7010639561271;"SE;"; ;
Toalha De Banho Unique Roma/Rosa Chá Jogo 4 Peças Lufamar;1850416441;P58421S22B2W;R$ 99,90;R$ 99,90;4; ;"PUBLICADO;"; ;
Jogo de roda Aro 20 VW Tiguan Black Furação 4x100;1850419617;7010639566757B2W;R$ 3.426,61;R$ 3.426,61;2;7010639566757;"PUBLICADO;"; ;
Jogo de Roda Aro 17 MERCEDES AMG C63 BLACK 4X108;1850416512;7010639565545B2W;R$ 2.284,74;R$ 2.284,74;3;7010639565545;"PUBLICADO;"; ;
Jogo de roda Aro 20 VW Tiguan Grafite Brilhante Furação 5x100;1850416926;7010639566795B2W;R$ 3.426,61;R$ 3.426,61;0;7010639566795;"SE;"; ;
Jogo de roda Aro 20 VW Tiguan Hipper Gloss Furação 5x100;1850419713;7010639566825B2W;R$ 3.426,61;R$ 3.426,61;0;7010639566825;"SE;"; ;
Relógio Feminino Mondaine Redondo Digital Aço Prata 32060L0MVNE4;1850417021;7893689962812B2W;R$ 209,00;R$ 209,00;0;7893689962812;"SE;"; ;
Jogo com 4 Rodas Aro 15 FURAÇÃO 5X114 TODA DIAMANTADA;1850417144;7010639559476B2W;R$ 2.336,88;R$ 2.336,88;2;7010639559476;"PUBLICADO;"; ;
"Jogo com 4 Rodas Aro 13 FURAÇÃO 4X100; GRAFITE DIAMANTADA";1850414453;7010639558394B2W;R$ 1.491,69;R$ 1.491,69;1;7010639558394;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 14 FURAÇÃO 5X114 SOMENTE FACE DIAMANTAD;1850415368;7010639565514B2W;R$ 2.398,36;R$ 2.398,36;5;7010639565514;"PUBLICADO;"; ;
Jogo Roda Aro 20 Novo Polo Furação 5x100 PRETA DIAMANTADA;1850415413;7010639565842B2W;R$ 3.461,51;R$ 3.461,51;0;7010639565842;"SE;"; ;
Jogo de roda aro 16 Toyota Corola Grafite Brilhante Furação 5x100;1850416803;7010639567082B2W;R$ 2.034,34;R$ 2.034,34;3;7010639567082;"PUBLICADO;"; ;
Jogo de Roda aro 15 HB20 Preta Diamantada Furação 4x100;1850417785;7010639566993B2W;R$ 1.768,78;R$ 1.768,78;0;7010639566993;"SE;"; ;
Jogo de roda Aro 18 VW Tiguan Black Furação 4x100;1850416846;7010639566665B2W;R$ 2.752,22;R$ 2.752,22;2;7010639566665;"PUBLICADO;"; ;
Jogo de Roda aro 15 HB20 Grafite Diamantada Furação 4x100;1850417081;7010639567006B2W;R$ 1.768,78;R$ 1.768,78;0;7010639567006;"SE;"; ;
